id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
143,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 576ms,[object Object],2026-04-06 17:00:00,1,,
144,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 679ms,[object Object],2026-04-06 18:00:00,1,,
145,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 799ms,[object Object],2026-04-06 18:40:14,1,,
146,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 668ms,[object Object],2026-04-06 19:00:00,1,,
147,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 632ms,[object Object],2026-04-06 20:00:01,1,,
148,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 585ms,[object Object],2026-04-06 21:00:00,1,,
149,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 484ms,[object Object],2026-04-06 22:00:00,1,,
150,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 565ms,[object Object],2026-04-06 23:00:00,1,,
151,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 485ms,[object Object],2026-04-07 00:00:00,1,,
152,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 748ms,[object Object],2026-04-07 01:00:00,1,,
153,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 485ms,[object Object],2026-04-07 15:00:00,1,,
154,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 487ms,[object Object],2026-04-07 16:00:00,1,,
155,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 612ms,[object Object],2026-04-07 17:00:00,1,,
