id_alerta_procedida,codigo_alerta,severidad,mensaje,detalle,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
257,LOAN_NOT_RELEASED,warning,El préstamo #1964 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4453,238,11113315176,1964,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
258,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,4454,424,11112894601,,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
259,LOAN_NOT_RELEASED,warning,El préstamo #1406 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4462,28,11112622956,1406,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
260,LOAN_NOT_RELEASED,warning,El préstamo #1407 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4463,29,11112626649,1407,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
261,LOAN_NOT_RELEASED,warning,El préstamo #1863 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4464,26,11112658700,1863,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
262,LOAN_NOT_RELEASED,warning,El préstamo #1403 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4465,25,11112748267,1403,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
263,LOAN_NOT_RELEASED,warning,El préstamo #1404 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4466,277,11112754934,1404,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
264,LOAN_NOT_RELEASED,warning,El préstamo #1932 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4467,276,11113022524,1932,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
265,LOAN_NOT_RELEASED,warning,El préstamo #1400 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4468,24,11113101306,1400,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
266,LOAN_NOT_RELEASED,warning,El préstamo #2089 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4470,245,11113115541,2089,111113612603105,2026-07-21 16:52:58,2026-07-21,84.17.44.228
267,LOAN_NOT_RELEASED,warning,El préstamo #2088 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4473,21,11113052056,2088,111113612603105,2026-07-21 17:10:12,2026-07-21,84.17.44.228
