id_detalle,id_mora_centro,id_cliente,pago_cliente,porcentaje_participacion,monto_multa_cliente,total_a_pagar_cliente,fecha_creacion
687,72,11112914985,240.00,0.4000,528.00,768.00,2026-06-30 06:08:38
689,73,11112954434,936.00,1.0000,2059.20,2995.20,2026-07-01 02:00:04
750,74,11112801054,420.00,0.1047,924.00,1344.00,2026-07-02 16:23:16
751,74,11112882874,416.00,0.1037,915.20,1331.20,2026-07-02 16:23:16
752,74,11112924530,587.90,0.1466,1293.38,1881.28,2026-07-02 16:23:16
753,74,11112956989,779.90,0.1944,1715.78,2495.68,2026-07-02 16:23:16
754,74,11112963613,719.90,0.1795,1583.78,2303.68,2026-07-02 16:23:16
755,74,11113081447,200.00,0.0499,440.00,640.00,2026-07-02 16:23:16
756,74,11113113052,299.90,0.0748,659.78,959.68,2026-07-02 16:23:16
757,74,11113184661,587.90,0.1466,1293.38,1881.28,2026-07-02 16:23:16
779,75,11112777460,587.90,0.0880,1293.38,1881.28,2026-07-03 14:29:22
780,75,11112806809,180.00,0.0270,396.00,576.00,2026-07-03 14:29:22
781,75,11112893766,779.90,0.1168,1715.78,2495.68,2026-07-03 14:29:22
782,75,11112895952,587.90,0.0880,1293.38,1881.28,2026-07-03 14:29:22
783,75,11112911821,180.00,0.0270,396.00,576.00,2026-07-03 14:29:22
784,75,11112914791,180.00,0.0270,396.00,576.00,2026-07-03 14:29:22
785,75,11112925822,320.00,0.0479,704.01,1024.01,2026-07-03 14:29:22
786,75,11112994198,180.00,0.0270,396.00,576.00,2026-07-03 14:29:22
787,75,11113007902,357.20,0.0535,785.84,1143.04,2026-07-03 14:29:22
788,75,11113023526,180.00,0.0270,396.00,576.00,2026-07-03 14:29:22
789,75,11113037690,420.00,0.0629,924.00,1344.00,2026-07-03 14:29:22
790,75,11113072620,839.90,0.1258,1847.77,2687.67,2026-07-03 14:29:22
791,75,11113098282,659.90,0.0988,1451.78,2111.68,2026-07-03 14:29:22
792,75,11113242625,779.90,0.1168,1715.78,2495.68,2026-07-03 14:29:22
793,75,11113315176,446.50,0.0669,982.30,1428.80,2026-07-03 14:29:22
794,76,11112807935,180.00,0.0519,396.00,576.00,2026-07-06 02:00:09
795,76,11112839233,357.20,0.1031,785.84,1143.04,2026-07-06 02:00:09
796,76,11112925238,587.90,0.1697,1293.38,1881.28,2026-07-06 02:00:09
797,76,11112935428,240.00,0.0693,528.00,768.00,2026-07-06 02:00:09
798,76,11112996352,180.00,0.0519,396.00,576.00,2026-07-06 02:00:09
799,76,11113034548,480.00,0.1385,1056.00,1536.00,2026-07-06 02:00:09
800,76,11113052056,200.00,0.0577,440.00,640.00,2026-07-06 02:00:09
801,76,11113102113,200.00,0.0577,440.00,640.00,2026-07-06 02:00:09
802,76,11113106411,560.00,0.1616,1232.00,1792.00,2026-07-06 02:00:09
803,76,11113202376,480.00,0.1385,1056.00,1536.00,2026-07-06 02:00:09
809,77,11112938595,299.90,0.2631,659.78,959.68,2026-07-07 02:00:09
810,77,11112973194,839.90,0.7369,1847.78,2687.68,2026-07-07 02:00:09
818,78,11112931340,987.80,0.6269,2173.16,3160.96,2026-07-08 18:42:08
819,78,11112952009,587.90,0.3731,1293.38,1881.28,2026-07-08 18:42:08
821,79,11112724518,719.90,1.0000,1583.78,2303.68,2026-07-09 02:00:05
822,80,11112837856,446.50,0.2100,982.30,1428.80,2026-07-10 02:00:05
823,80,11112918295,299.90,0.1410,659.78,959.68,2026-07-10 02:00:05
824,80,11112952328,360.00,0.1693,792.00,1152.00,2026-07-10 02:00:05
825,80,11112972833,300.00,0.1411,660.00,960.00,2026-07-10 02:00:05
826,80,11113023238,719.90,0.3386,1583.78,2303.68,2026-07-10 02:00:05
829,81,11112807935,180.00,0.0764,396.00,576.00,2026-07-13 02:00:07
830,81,11112839233,357.20,0.1515,785.84,1143.04,2026-07-13 02:00:07
831,81,11112941078,200.00,0.0848,440.00,640.00,2026-07-13 02:00:07
832,81,11112996352,180.00,0.0764,396.00,576.00,2026-07-13 02:00:07
833,81,11113034548,480.00,0.2036,1056.00,1536.00,2026-07-13 02:00:07
834,81,11113052056,200.00,0.0848,440.00,640.00,2026-07-13 02:00:07
835,81,11113102113,200.00,0.0848,440.00,640.00,2026-07-13 02:00:07
836,81,11113106411,200.00,0.0848,440.00,640.00,2026-07-13 02:00:07
837,81,11113232046,360.00,0.1527,792.00,1152.00,2026-07-13 02:00:07
844,82,11112938595,299.90,0.2631,659.78,959.68,2026-07-14 02:00:07
845,82,11112973194,839.90,0.7369,1847.78,2687.68,2026-07-14 02:00:07
847,83,11112979148,705.60,1.0000,1552.32,2257.92,2026-07-15 02:00:06
848,84,11112724518,719.90,0.5217,1583.78,2303.68,2026-07-16 02:00:06
849,84,11113209269,659.90,0.4783,1451.78,2111.68,2026-07-16 02:00:06
851,85,11112837856,446.50,0.2367,982.30,1428.80,2026-07-17 02:00:07
852,85,11112918295,299.90,0.1590,659.78,959.68,2026-07-17 02:00:07
853,85,11112952328,360.00,0.1909,792.00,1152.00,2026-07-17 02:00:07
854,85,11113042756,480.00,0.2545,1056.00,1536.00,2026-07-17 02:00:07
855,85,11113082146,299.90,0.1590,659.78,959.68,2026-07-17 02:00:07
858,86,11112941078,200.00,0.1786,440.00,640.00,2026-07-20 02:00:05
859,86,11113052056,360.00,0.3214,792.00,1152.00,2026-07-20 02:00:05
860,86,11113102113,200.00,0.1786,440.00,640.00,2026-07-20 02:00:05
861,86,11113232046,360.00,0.3214,792.00,1152.00,2026-07-20 02:00:05
865,87,11112858472,719.90,0.7500,1583.78,2303.68,2026-07-21 02:00:06
866,87,11113265056,240.00,0.2500,528.00,768.00,2026-07-21 02:00:06
868,88,11112947297,288.00,0.2899,633.60,921.60,2026-07-22 02:00:07
869,88,11112979148,705.60,0.7101,1552.32,2257.92,2026-07-22 02:00:07
871,89,11113115541,719.90,0.3333,1583.78,2303.68,2026-07-23 02:00:07
872,89,11113209269,659.90,0.3056,1451.78,2111.68,2026-07-23 02:00:07
873,89,11113299859,779.90,0.3611,1715.78,2495.68,2026-07-23 02:00:07
874,90,11112918295,299.90,0.2083,659.78,959.68,2026-07-24 02:00:06
875,90,11112952328,360.00,0.2500,792.00,1152.00,2026-07-24 02:00:06
876,90,11113042756,480.00,0.3334,1056.00,1536.00,2026-07-24 02:00:06
877,90,11113082146,299.90,0.2083,659.78,959.68,2026-07-24 02:00:06
