id_archivo,url,nombre_archivo,tipo,origen,tamano_bytes,estatus,id_usuario,fecha_generacion,metadata
65,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260416184521_912.pdf,Prestamos/pagare_grupal/111113612004634_20260416184521_912.pdf,PAGARE_GRUPAL,PRESTAMOS,70228,Generado,111113612004634,2026-04-16 18:45:21,[object Object]
66,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260416211931_678.pdf,Prestamos/pagare_grupal/111113612004634_20260416211931_678.pdf,PAGARE_GRUPAL,PRESTAMOS,70241,Generado,111113612004634,2026-04-16 21:19:32,[object Object]
67,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260416215403_382.pdf,Prestamos/pagare_grupal/111113612004634_20260416215403_382.pdf,PAGARE_GRUPAL,PRESTAMOS,70211,Generado,111113612004634,2026-04-16 21:54:04,[object Object]
68,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417174326_166.pdf,Prestamos/pagare_grupal/111113612004634_20260417174326_166.pdf,PAGARE_GRUPAL,PRESTAMOS,70209,Generado,111113612004634,2026-04-17 17:43:27,[object Object]
69,https://fooaxstorage.sfo3.digitaloceanspaces.com/expedientes/clientes/11112666665/estado_cuenta_11112666665_2026-04-17T18-22-07-294Z.json,expedientes/clientes/11112666665/estado_cuenta_11112666665_2026-04-17T18-22-07-294Z.json,JSON,ESTADO_CUENTA_CLIENTE,44019,Generado,111113612603105,2026-04-17 18:22:07,[object Object]
70,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417182209_3.pdf,Prestamos/pagare_grupal/111113612004634_20260417182209_3.pdf,PAGARE_GRUPAL,PRESTAMOS,70407,Generado,111113612004634,2026-04-17 18:22:10,[object Object]
71,https://fooaxstorage.sfo3.digitaloceanspaces.com/expedientes/clientes/11112666665/estado_cuenta_11112666665_2026-04-17T18-22-13-837Z.json,expedientes/clientes/11112666665/estado_cuenta_11112666665_2026-04-17T18-22-13-837Z.json,JSON,ESTADO_CUENTA_CLIENTE,44019,Generado,111113612603105,2026-04-17 18:22:14,[object Object]
72,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417185516_468.pdf,Prestamos/pagare_grupal/111113612004634_20260417185516_468.pdf,PAGARE_GRUPAL,PRESTAMOS,70252,Generado,111113612004634,2026-04-17 18:55:17,[object Object]
73,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417192819_108.pdf,Prestamos/pagare_grupal/111113612004634_20260417192819_108.pdf,PAGARE_GRUPAL,PRESTAMOS,70251,Generado,111113612004634,2026-04-17 19:28:19,[object Object]
74,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417193201_797.pdf,Prestamos/pagare_grupal/111113612004634_20260417193201_797.pdf,PAGARE_GRUPAL,PRESTAMOS,70250,Generado,111113612004634,2026-04-17 19:32:02,[object Object]
75,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417194124_168.pdf,Prestamos/pagare_grupal/111113612004634_20260417194124_168.pdf,PAGARE_GRUPAL,PRESTAMOS,70209,Generado,111113612004634,2026-04-17 19:41:24,[object Object]
76,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417194914_285.pdf,Prestamos/pagare_grupal/111113612004634_20260417194914_285.pdf,PAGARE_GRUPAL,PRESTAMOS,70248,Generado,111113612004634,2026-04-17 19:49:15,[object Object]
77,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417203801_334.pdf,Prestamos/pagare_grupal/111113612004634_20260417203801_334.pdf,PAGARE_GRUPAL,PRESTAMOS,70248,Generado,111113612004634,2026-04-17 20:38:01,[object Object]
78,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417214149_542.pdf,Prestamos/pagare_grupal/111113612004634_20260417214149_542.pdf,PAGARE_GRUPAL,PRESTAMOS,70455,Generado,111113612004634,2026-04-17 21:41:50,[object Object]
79,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417224811_235.pdf,Prestamos/pagare_grupal/111113612004634_20260417224811_235.pdf,PAGARE_GRUPAL,PRESTAMOS,70230,Generado,111113612004634,2026-04-17 22:48:11,[object Object]
80,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417225419_490.pdf,Prestamos/pagare_grupal/111113612004634_20260417225419_490.pdf,PAGARE_GRUPAL,PRESTAMOS,70264,Generado,111113612004634,2026-04-17 22:54:20,[object Object]
81,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417230438_66.pdf,Prestamos/pagare_grupal/111113612004634_20260417230438_66.pdf,PAGARE_GRUPAL,PRESTAMOS,70201,Generado,111113612004634,2026-04-17 23:04:38,[object Object]
82,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417231521_153.pdf,Prestamos/pagare_grupal/111113612004634_20260417231521_153.pdf,PAGARE_GRUPAL,PRESTAMOS,70210,Generado,111113612004634,2026-04-17 23:15:21,[object Object]
83,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417232515_130.pdf,Prestamos/pagare_grupal/111113612004634_20260417232515_130.pdf,PAGARE_GRUPAL,PRESTAMOS,70248,Generado,111113612004634,2026-04-17 23:25:15,[object Object]
84,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260417233511_854.pdf,Prestamos/pagare_grupal/111113612004634_20260417233511_854.pdf,PAGARE_GRUPAL,PRESTAMOS,70268,Generado,111113612004634,2026-04-17 23:35:11,[object Object]
85,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260417233932_701.pdf,Ahorros/retiro_grupal/111113612603105_20260417233932_701.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,143824,Generado,111113612603105,2026-04-17 23:39:33,[object Object]
86,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260418155504_562.pdf,Ahorros/retiro_grupal/111113612603105_20260418155504_562.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140302,Generado,111113612603105,2026-04-18 15:55:05,[object Object]
87,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260418162110_536.pdf,Ahorros/retiro_grupal/111113612603105_20260418162110_536.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140330,Generado,111113612603105,2026-04-18 16:21:11,[object Object]
88,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_individual/111113612603105_20260418164004_454.pdf,Ahorros/retiro_individual/111113612603105_20260418164004_454.pdf,RETIRO_AHORRO_INDIVIDUAL,AHORROS,140350,Generado,111113612603105,2026-04-18 16:40:04,[object Object]
89,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260418170041_907.pdf,Ahorros/retiro_grupal/111113612603105_20260418170041_907.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140335,Generado,111113612603105,2026-04-18 17:00:41,[object Object]
90,https://fooaxstorage.sfo3.digitaloceanspaces.com/Garantia_Adicional/retiro_individual/111113612603105_20260420172715_20.pdf,Garantia_Adicional/retiro_individual/111113612603105_20260420172715_20.pdf,RETIRO_AHORRO_INDIVIDUAL,GARANTIA_ADICIONAL,140365,Generado,111113612603105,2026-04-20 17:27:15,[object Object]
91,https://fooaxstorage.sfo3.digitaloceanspaces.com/Garantia_Adicional/retiro_grupal/111113612603105_20260420174358_937_centro_15_ATAYUCO.pdf,Garantia_Adicional/retiro_grupal/111113612603105_20260420174358_937_centro_15_ATAYUCO.pdf,RETIRO_AHORRO_GRUPAL,GARANTIA_ADICIONAL,140369,Generado,111113612603105,2026-04-20 17:44:00,[object Object]
92,https://fooaxstorage.sfo3.digitaloceanspaces.com/Garantia_Adicional/retiro_grupal/111113612603105_20260420184120_56_centro_51_PENTA.pdf,Garantia_Adicional/retiro_grupal/111113612603105_20260420184120_56_centro_51_PENTA.pdf,RETIRO_AHORRO_GRUPAL,GARANTIA_ADICIONAL,140395,Generado,111113612603105,2026-04-20 18:41:21,[object Object]
93,https://fooaxstorage.sfo3.digitaloceanspaces.com/Garantia_Adicional/retiro_grupal/111113612603105_20260420191228_405_centro_19_FERRERIA.pdf,Garantia_Adicional/retiro_grupal/111113612603105_20260420191228_405_centro_19_FERRERIA.pdf,RETIRO_AHORRO_GRUPAL,GARANTIA_ADICIONAL,140342,Generado,111113612603105,2026-04-20 19:12:28,[object Object]
94,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260420194710_395.pdf,Prestamos/pagare_grupal/111113612004634_20260420194710_395.pdf,PAGARE_GRUPAL,PRESTAMOS,70208,Generado,111113612004634,2026-04-20 19:47:11,[object Object]
95,https://fooaxstorage.sfo3.digitaloceanspaces.com/Garantia_Adicional/retiro_grupal/111113612603105_20260420195441_859_centro_54_BARCHIEL.pdf,Garantia_Adicional/retiro_grupal/111113612603105_20260420195441_859_centro_54_BARCHIEL.pdf,RETIRO_AHORRO_GRUPAL,GARANTIA_ADICIONAL,140315,Generado,111113612603105,2026-04-20 19:54:41,[object Object]
96,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260420211612_515.pdf,Creditos/pagare_centro/111113612004634_20260420211612_515.pdf,PAGARE_CENTRO,CREDITOS,76015,Generado,111113612004634,2026-04-20 21:16:13,[object Object]
